prediction_id,settled_at,actual_result,is_winner,profit,result_file_b365_odds,result_file_best_odds,closing_line_value
39528af006723018985f73970649157318dc9e942f45af01d995f1c630424342,2026-08-11 07:12:21.160068+00:00,A,False,-1.0,4.5,4.75,0.0
8ea0419b9378a117e316feaa0bce5878fe7bf0b92fb124d2d3d2328fa6953104,2026-08-11 07:12:21.160068+00:00,A,False,-1.0,6.0,6.0,0.0
aaaf35c51c6418f7d21e80c22219ae58c331ef42c415fa5b966653532cdf8b78,2026-08-11 07:12:21.160068+00:00,H,False,-1.0,3.0,3.0,0.0
d667344973b5273e5504cb86ea85168b4d799ea6cf7134ea8333b58a183c69f3,2026-08-11 07:12:21.160068+00:00,H,False,-1.0,3.5,3.5,0.0
e4ecef26f1ebbad9b52fdcb7ec5d77abde1da2225727f0a5d83f4e6c5d926fe4,2026-08-11 07:12:21.160068+00:00,H,True,1.35,2.3,2.35,0.0
3a77d9f3e65e17f143411b81f55eee85472fc39111857888d5ec822e80be8ca3,2026-08-11 07:12:21.160068+00:00,A,True,0.7,1.7,1.7,0.0
ab27eb229229eae0f5ebd4764622cb04dbf0515e3ce795c5d856eeadeda14dc3,2026-08-11 07:12:21.160068+00:00,A,False,-1.0,4.1,4.1,0.0
7e9452839d17d4e0071ec59f16f43a466d70906d66c6a2e1bf27667aa6d0c6e5,2026-08-11 07:12:21.160068+00:00,A,False,-1.0,4.5,4.5,0.0
3f2d99cee3c254ce7d0cedfcc26a1086fb794280454558c311390e0873bcbded,2026-08-11 07:12:21.160068+00:00,H,False,-1.0,2.2,2.2,0.0
1a40c1eabbdafd6e01fd3b446b7cbb37298392da3448c28453a012868b49ed06,2026-08-11 07:12:21.160068+00:00,H,False,-1.0,3.8,3.8,0.0
9faddc581e0b1076077787d115086d01adfc3779521355fac77b43f6dfd2190d,2026-08-11 07:12:21.160068+00:00,H,True,2.0,3.0,3.0,0.0
